university,school,degree,recordCount
"Nanyang Technological University","College of Engineering","Chemical And Biomolecular Engineering","2"
"National University of Singapore","Yong Loo Lin School (Medicine)","Bachelor of Medicine and Bachelor of Surgery #","2"
"Singapore Management University","School of Law (4-year programme) *","Law Cum Laude and above #","2"
"Singapore Institute of Technology","Trinity College Dublin","Bachelor in Science (Occupational Therapy)","2"
"Nanyang Technological University","College of Business (Nanyang Business School)","Business and Computing ^","2"
"Nanyang Technological University","College of Science","Mathematical Sciences / Mathematical Sciences and Economics","2"
"National University of Singapore","Faculty Of Engineering","Bachelor of Engineering (Engineering Science)","2"
"Nanyang Technological University","College of Sciences","Biomedical Sciences & Chinese Medicine # ^","2"
"Nanyang Technological University","College of Sciences","Environmental Earth Systems Sciences ^","2"
"Nanyang Technological University","College of Sciences","Physics & Applied Physics","2"
"Nanyang Technological University","College of Engineering","Electrical And Electronic Engineering","2"
"Singapore Institute of Technology","SIT-University of Glasgow","Bachelor of Engineering with Honours in Mechanical Engineering","2"
"Singapore Institute of Technology","SIT- Newcastle University","Bachelor of Engineering with Honours in Marine Engineering ^","2"
"Singapore Management University","School of Economics (4-year programme) *","Economics Cum Laude and above","2"
"Singapore Institute of Technology","Newcastle University","Bachelor of Engineering with Honours in Offshore Engineering ^","2"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Science (Radiation Therapy) ^","2"
"National University of Singapore","Faculty Of Engineering","Bachelor of Engineering (Mechanical Engineering)","2"
"Singapore Management University","School of Accountancy (4-year programme) *","Accountancy Cum Laude and above","2"
"Nanyang Technological University","National Institute of Education (NIE)","Sports Science and Management","2"
"Singapore Institute of Technology","Trinity College Dublin","Bachelor in Science (Physiotherapy)","2"
"National University of Singapore","YST Conservatory of Music","Bachelor of Music ^","2"
"National University of Singapore","College of Design and Engineering","Bachelor of Arts (Industrial Design)","2"
"Singapore Institute of Technology","SIT-University of Glasgow","Bachelor of Science with Honours in Computing Science","2"
"Singapore Institute of Technology","DigiPen Institute of Technology","Bachelor of Science in Computer Science and Game Design ^","2"
"Nanyang Technological University","College of Engineering","Materials Engineering and Economics **","2"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Science (Occupational Therapy)","2"
